id,body,label
1,Dear student, Please review the information carefully and respond if needed. The department would like to share some important news. Best regards, Office of Academic Affairs,ham
2,Hi everyone, Attached you will find relevant materials and documents. Attached you will find relevant materials and documents. Best regards, Department of Computer Science,ham
3,Hi everyone, Attached you will find relevant materials and documents. Your participation in the following activity would be appreciated. Sincerely, Office of Academic Affairs,ham
4,Dear student, We look forward to your continued engagement. Please review the information carefully and respond if needed. Best regards, Office of Academic Affairs,ham
5,Dear team, Please be reminded of the upcoming event mentioned below. We hope this message finds you well. Best regards, Department of Computer Science,ham
6,Dear student, The department would like to share some important news. Please review the information carefully and respond if needed. Thank you, University Administration,ham
7,Dear student, The department would like to share some important news. Attached you will find relevant materials and documents. Thank you, University Administration,ham
8,Hi everyone, This is an official notification from the academic office. We look forward to your continued engagement. Kind regards, Office of Academic Affairs,ham
9,Hi everyone, Please review the information carefully and respond if needed. This is an official notification from the academic office. Thank you, University Administration,ham
10,Dear team, Attached you will find relevant materials and documents. This is an official notification from the academic office. Best regards, Department of Computer Science,ham
11,Dear student, If you have any questions, feel free to reach out. The department would like to share some important news. Sincerely, Student Services Center,ham
12,Dear team, Please be reminded of the upcoming event mentioned below. If you have any questions, feel free to reach out. Warm wishes, Career Development Office,ham
13,Dear student, Your participation in the following activity would be appreciated. We look forward to your continued engagement. Best regards, Student Services Center,ham
14,Hello, Please review the information carefully and respond if needed. This is an official notification from the academic office. Thank you, Office of Academic Affairs,ham
15,Dear team, Your participation in the following activity would be appreciated. This is an official notification from the academic office. Warm wishes, Department of Computer Science,ham
16,Dear team, Please review the information carefully and respond if needed. If you have any questions, feel free to reach out. Best regards, Office of Academic Affairs,ham
17,Hello, We hope this message finds you well. The department would like to share some important news. Kind regards, Student Services Center,ham
18,Dear team, We hope this message finds you well. Please be reminded of the upcoming event mentioned below. Thank you, Office of Academic Affairs,ham
19,Dear student, Please be reminded of the upcoming event mentioned below. Please review the information carefully and respond if needed. Best regards, Career Development Office,ham
20,Hi everyone, Please review the information carefully and respond if needed. We hope this message finds you well. Kind regards, Student Services Center,ham
21,Hi everyone, Attached you will find relevant materials and documents. Please review the information carefully and respond if needed. Kind regards, Office of Academic Affairs,ham
22,Hello, Please review the information carefully and respond if needed. Please be reminded of the upcoming event mentioned below. Sincerely, Student Services Center,ham
23,Dear student, We hope this message finds you well. This is an official notification from the academic office. Warm wishes, Career Development Office,ham
24,Greetings, Please review the information carefully and respond if needed. Attached you will find relevant materials and documents. Sincerely, Career Development Office,ham
25,Dear student, This is to inform you of recent updates regarding your course. We look forward to your continued engagement. Warm wishes, University Administration,ham
26,Hello, If you have any questions, feel free to reach out. We hope this message finds you well. Kind regards, University Administration,ham
27,Dear team, The department would like to share some important news. Please review the information carefully and respond if needed. Best regards, Department of Computer Science,ham
28,Hi everyone, This is an official notification from the academic office. This is an official notification from the academic office. Sincerely, Student Services Center,ham
29,Hi everyone, Attached you will find relevant materials and documents. Your participation in the following activity would be appreciated. Thank you, Student Services Center,ham
30,Hi everyone, Your participation in the following activity would be appreciated. Your participation in the following activity would be appreciated. Kind regards, Student Services Center,ham
31,Hi everyone, Please be reminded of the upcoming event mentioned below. Your participation in the following activity would be appreciated. Thank you, Department of Computer Science,ham
32,Hello, The department would like to share some important news. We look forward to your continued engagement. Sincerely, Office of Academic Affairs,ham
33,Dear student, Attached you will find relevant materials and documents. This is an official notification from the academic office. Thank you, Department of Computer Science,ham
34,Dear team, If you have any questions, feel free to reach out. Please review the information carefully and respond if needed. Best regards, Student Services Center,ham
35,Hi everyone, If you have any questions, feel free to reach out. Attached you will find relevant materials and documents. Warm wishes, Department of Computer Science,ham
36,Hi everyone, We hope this message finds you well. We look forward to your continued engagement. Thank you, University Administration,ham
37,Hi everyone, Please be reminded of the upcoming event mentioned below. We hope this message finds you well. Kind regards, University Administration,ham
38,Dear team, Attached you will find relevant materials and documents. Attached you will find relevant materials and documents. Sincerely, University Administration,ham
39,Hello, This is to inform you of recent updates regarding your course. Please review the information carefully and respond if needed. Best regards, University Administration,ham
40,Greetings, This is to inform you of recent updates regarding your course. This is an official notification from the academic office. Warm wishes, Student Services Center,ham
41,Dear student, The department would like to share some important news. This is an official notification from the academic office. Thank you, Student Services Center,ham
42,Dear student, We look forward to your continued engagement. Please review the information carefully and respond if needed. Kind regards, Office of Academic Affairs,ham
43,Greetings, Your participation in the following activity would be appreciated. If you have any questions, feel free to reach out. Kind regards, University Administration,ham
44,Greetings, Your participation in the following activity would be appreciated. If you have any questions, feel free to reach out. Thank you, Career Development Office,ham
45,Dear student, This is to inform you of recent updates regarding your course. Please be reminded of the upcoming event mentioned below. Best regards, University Administration,ham
46,Hello, If you have any questions, feel free to reach out. This is an official notification from the academic office. Best regards, University Administration,ham
47,Greetings, Attached you will find relevant materials and documents. Your participation in the following activity would be appreciated. Thank you, Office of Academic Affairs,ham
48,Hi everyone, The department would like to share some important news. We look forward to your continued engagement. Best regards, Student Services Center,ham
49,Hello, Please be reminded of the upcoming event mentioned below. The department would like to share some important news. Kind regards, Department of Computer Science,ham
50,Dear team, We hope this message finds you well. We look forward to your continued engagement. Best regards, University Administration,ham
51,Hello, We hope this message finds you well. The department would like to share some important news. Thank you, Department of Computer Science,ham
52,Hi everyone, Your participation in the following activity would be appreciated. The department would like to share some important news. Warm wishes, University Administration,ham
53,Hi everyone, Please be reminded of the upcoming event mentioned below. Please be reminded of the upcoming event mentioned below. Warm wishes, Career Development Office,ham
54,Greetings, Your participation in the following activity would be appreciated. This is an official notification from the academic office. Best regards, University Administration,ham
55,Dear team, Please be reminded of the upcoming event mentioned below. We hope this message finds you well. Thank you, University Administration,ham
56,Dear team, This is an official notification from the academic office. Attached you will find relevant materials and documents. Sincerely, University Administration,ham
57,Hello, Your participation in the following activity would be appreciated. We hope this message finds you well. Sincerely, Department of Computer Science,ham
58,Dear student, We hope this message finds you well. Please review the information carefully and respond if needed. Kind regards, Career Development Office,ham
59,Hello, Please review the information carefully and respond if needed. The department would like to share some important news. Sincerely, Student Services Center,ham
60,Greetings, Your participation in the following activity would be appreciated. This is an official notification from the academic office. Best regards, Student Services Center,ham
61,Dear team, Your participation in the following activity would be appreciated. Please review the information carefully and respond if needed. Sincerely, Career Development Office,ham
62,Dear team, This is an official notification from the academic office. Your participation in the following activity would be appreciated. Warm wishes, Office of Academic Affairs,ham
63,Dear student, The department would like to share some important news. This is to inform you of recent updates regarding your course. Warm wishes, Office of Academic Affairs,ham
64,Dear team, Attached you will find relevant materials and documents. This is an official notification from the academic office. Thank you, Office of Academic Affairs,ham
65,Greetings, The department would like to share some important news. Attached you will find relevant materials and documents. Sincerely, University Administration,ham
66,Hi everyone, Please be reminded of the upcoming event mentioned below. We look forward to your continued engagement. Kind regards, Office of Academic Affairs,ham
67,Hello, Please review the information carefully and respond if needed. This is to inform you of recent updates regarding your course. Warm wishes, Department of Computer Science,ham
68,Dear student, This is to inform you of recent updates regarding your course. Please be reminded of the upcoming event mentioned below. Kind regards, Office of Academic Affairs,ham
69,Hello, If you have any questions, feel free to reach out. Please review the information carefully and respond if needed. Sincerely, University Administration,ham
70,Hello, Please be reminded of the upcoming event mentioned below. If you have any questions, feel free to reach out. Best regards, Department of Computer Science,ham
71,Greetings, If you have any questions, feel free to reach out. Your participation in the following activity would be appreciated. Sincerely, Department of Computer Science,ham
72,Greetings, This is to inform you of recent updates regarding your course. Please be reminded of the upcoming event mentioned below. Best regards, Student Services Center,ham
73,Dear team, Attached you will find relevant materials and documents. Your participation in the following activity would be appreciated. Best regards, Office of Academic Affairs,ham
74,Dear student, Your participation in the following activity would be appreciated. The department would like to share some important news. Sincerely, Department of Computer Science,ham
75,Dear student, We look forward to your continued engagement. This is an official notification from the academic office. Kind regards, University Administration,ham
76,Greetings, This is to inform you of recent updates regarding your course. Please review the information carefully and respond if needed. Best regards, Career Development Office,ham
77,Greetings, We hope this message finds you well. Attached you will find relevant materials and documents. Thank you, Office of Academic Affairs,ham
78,Dear student, Please review the information carefully and respond if needed. This is to inform you of recent updates regarding your course. Thank you, Student Services Center,ham
79,Dear student, We look forward to your continued engagement. This is an official notification from the academic office. Sincerely, University Administration,ham
80,Dear student, Your participation in the following activity would be appreciated. Your participation in the following activity would be appreciated. Kind regards, University Administration,ham
81,Greetings, This is an official notification from the academic office. This is an official notification from the academic office. Sincerely, University Administration,ham
82,Dear student, This is to inform you of recent updates regarding your course. Your participation in the following activity would be appreciated. Kind regards, Department of Computer Science,ham
83,Hi everyone, Please be reminded of the upcoming event mentioned below. The department would like to share some important news. Best regards, Office of Academic Affairs,ham
84,Greetings, Attached you will find relevant materials and documents. This is to inform you of recent updates regarding your course. Kind regards, University Administration,ham
85,Greetings, This is an official notification from the academic office. This is an official notification from the academic office. Best regards, Career Development Office,ham
86,Greetings, The department would like to share some important news. If you have any questions, feel free to reach out. Sincerely, Office of Academic Affairs,ham
87,Dear student, We look forward to your continued engagement. Please be reminded of the upcoming event mentioned below. Warm wishes, University Administration,ham
88,Hello, This is to inform you of recent updates regarding your course. Please review the information carefully and respond if needed. Best regards, University Administration,ham
89,Dear student, Please review the information carefully and respond if needed. This is to inform you of recent updates regarding your course. Best regards, Department of Computer Science,ham
90,Dear team, This is to inform you of recent updates regarding your course. Please review the information carefully and respond if needed. Kind regards, Office of Academic Affairs,ham
91,Hi everyone, Please review the information carefully and respond if needed. The department would like to share some important news. Thank you, Office of Academic Affairs,ham
92,Hi everyone, Your participation in the following activity would be appreciated. The department would like to share some important news. Kind regards, Career Development Office,ham
93,Greetings, We hope this message finds you well. This is to inform you of recent updates regarding your course. Kind regards, Student Services Center,ham
94,Hello, If you have any questions, feel free to reach out. We hope this message finds you well. Warm wishes, Office of Academic Affairs,ham
95,Dear student, This is an official notification from the academic office. Your participation in the following activity would be appreciated. Best regards, University Administration,ham
96,Dear team, We look forward to your continued engagement. Please review the information carefully and respond if needed. Thank you, Student Services Center,ham
97,Hello, Please be reminded of the upcoming event mentioned below. If you have any questions, feel free to reach out. Best regards, Career Development Office,ham
98,Dear student, Your participation in the following activity would be appreciated. We hope this message finds you well. Sincerely, Career Development Office,ham
99,Dear student, Please review the information carefully and respond if needed. If you have any questions, feel free to reach out. Thank you, University Administration,ham
100,Hello, Please review the information carefully and respond if needed. Please review the information carefully and respond if needed. Best regards, Office of Academic Affairs,ham
